ID;Revier (Nummer);Stamm-Standortformengruppe;Feinbodenform (Kürzel);Feinbodenform;Bodenform nach Bodenkundlicher Kartieranleitung KA5 (2005) (Kürzel);Bodenform nach Bodenkundlicher Kartieranleitung KA5 (2005);Art der Feinbodenform;natürliche Grund-/ Stauwasserstufe;Feinheiten der Körnung im Oberboden;Feinheiten der Körnung im übrigen Profil;Kalktiefe [m];Mächtigkeit der organischen Auflage [cm];Mächtigkeit des Ah-Horizontes [cm];Flächengröße [ha]
840;004043;OK4;LMks3;Lehm-Gleymoor;KV: H/l;Erdniedermoor aus Torf über Lehm (3-7 dm);organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22,23</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">L+U(/S)</a>";>3m oder frei;40...80cm; ;0,42551573
841;004043;Z2;GmS;Grubenmühler Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";ca 1,6...3m; ; ;0,88649975
842;004043;Z2;GmS;Grubenmühler Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";ca 1,6...3m; ; ;0,2717215
883;004043;NK2;FkSU4;Finkenkruger Sand-Graugley;GG-rGG: s;Gley-Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;>20 und mäßig humos;0,55143966
885;004043;M1;LhSU5;Linhorster Sand-Graugley;g.rGG: s;Vergleyter Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;>20 und humusärmer;0,96188734
886;004043;OK3;M.K3;Moor, kräftig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,1840498
887;004043;M1;HdSB5;Hennigsdorfer Sand-Braungley;g.rGG-BB: s;Vergleyte reliktische Gley-Braunerde aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">45</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm; ;1,0848474
757;004043;OK3;M.K3;Moor, kräftig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;12,55636791
759;004043;OK3;M.K3;Moor, kräftig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,89505058
854;004043;M1;SuSU5;Summter Sand-Graugley;g.rGG: s;Vergleyter Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;<=25cm;0,14808252
856;004043;Z2;GmS;Grubenmühler Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";ca 1,6...3m; ; ;0,45142209
857;004043;Z2;HbS6;Hobrechtsfelder Rieselschubsand;-;-;-; ; ; ; ; ; ;1,19105151
858;004043;NZ2;HbS4;Hobrechtsfelder Rieselschubsand;-;-;-; ; ; ; ; ; ;2,54515973
843;004043;M2;NeS6;Nedlitzer Sand-Braunerde;rgBB: s;Reliktisch vergleyte Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">almfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;2,36218223
844;004043;NM2;BaSG4;Barkower Sand-Humusgley;GG-rGGh: s;Reliktischer Gley-Humusgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">24,34</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>"; ;<=10cm;>20 und mäßig humos;1,80228364
769;004043;M1;SuSU5;Summter Sand-Graugley;g.rGG: s;Vergleyter Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;<=25cm;0,19009633
654;003039;Z2;BäS6;Bärenthorener Sand-Braunerde;rgBB: s;Reliktisch vergleyte Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,23575864
655;003039;NM1;SuSU3;Summter Sand-Graugley;GG: s;Gley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;<=25cm;1,08323472
697;003039;M2;NeS;Nedlitzer Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">almfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,36880476
664;003039;OM2;M.M2;Moor, mäßig nährstoffhaltig;HN: Hn;Niedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,27540344
666;003039;Z1;MuSB5;Mullberger Sand-Braundgley;g.rGG-BB: s;Vergleyte reliktische Gley-Braunerde aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">45</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm; ;8,74906474
712;003039;A2;BiS;Biegener Sand-Rostpodsol;PP-BB: s;Podsol-Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,62733466
786;004043;M1;BlS;Blankenfelder Rieselschubsand;lBB: s;Lessivierte Braunerde aus Sand;-; ; ; ; ; ; ;5,02024246
788;004043;Z1;HbS;Hobrechtsfelder Rieselschubsand;-;-;-; ; ; ; ; ; ;7,7291118
770;004043;OK3;M.K3;Moor, kräftig;KV: Hn;Erdniedermoor aus Niedermoortorf;organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";>3m oder frei;>80cm; ;0,87856633
771;004043;M2;NeS;Nedlitzer Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">almfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;1,63344124
696;003039;M2;WdSB6;Wernsdorfer Fuchssand-Gleybraunerde;rGG-BB: s;Reliktgley-Braunerde aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">45,56</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mS</a>";>3m oder frei;<=10cm;<=20cm;0,16701888
698;003039;A2;BiS;Biegener Sand-Rostpodsol;PP-BB: s;Podsol-Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,10685606
700;003039;Z2;BäS6;Bärenthorener Sand-Braunerde;rgBB: s;Reliktisch vergleyte Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;23,52566821
810;004043;OR4;LMr4;Lehm-Gleymoor;KV: Hn/l;Erdniedermoor aus Niedermoortorf über Lehm (3-7 dm);organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22,23</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">L+U(/S)</a>";>3m oder frei;40...80cm; ;1,04733412
713;003039;A2;NbS;Neubukower Humus-Rostpodsol;BB-PP: s;Braunerde-Podsol aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;1,22385127
714;004042;NK1;SM.K3;Sand-Gleymoor, kräftig;HN: Hn/s;Niedermoor aus Niedermoortorf über Sand (3-7 dm);organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">S+stbS</a>";>3m oder frei;40...80cm; ;0,5825243
685;003039;Z2;BäS6;Bärenthorener Sand-Braunerde;rgBB: s;Reliktisch vergleyte Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;1,37580582
687;003039;A2;BiS;Biegener Sand-Rostpodsol;PP-BB: s;Podsol-Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,68502961
675;003039;Z1;MuSB5;Mullberger Sand-Braundgley;g.rGG-BB: s;Vergleyte reliktische Gley-Braunerde aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">45</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">r+alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm; ;9,69866852
676;003039;Z2;BäS6;Bärenthorener Sand-Braunerde;rgBB: s;Reliktisch vergleyte Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rmfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;0,52396823
811;004043;R1;KnLG5;Kriener Humus-Staugley;s.rSSh: s/l;Pseudovergleyter reliktischer Humuspseudogley aus Sand über Lehm (3-7 dm);halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">34</a>"; ; ;>3m oder frei; ;>20 und humusreicher;1,03348705
813;004043;K2;BlS(Som);Blankenfelder Rieselschubsand;lBB: s;Lessivierte Braunerde aus Sand;-; ; ; ; ; ; ;9,3204515
815;004043;K2;FkSUI+5;Finkenkruger Sand-Graugley;g.rGG: s;Vergleyter Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;>20 und mäßig humos;0,47786131
747;004042;Z1;SIS5;Stülower Staubsand-Rügpodsol;gPP-BB: s;Vergleyte Podsol-Braunerde aus Sand;-; ; ; ; ; ; ;2,19077896
828;004043;K2;BlS;Blankenfelder Rieselschubsand;lBB: s;Lessivierte Braunerde aus Sand;-; ; ; ; ; ; ;12,60513551
829;004043;M2;CpS;Caputher Bändersand-Braunerde;lBB: s;Lessivierte Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">alS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">bmfS</a>";ca 1,6...3m; ; ;13,06933811
831;004043;NK1;BrLU3;Bresker Deckklock-Graugley;AB-GG-SS: u/s;Vega-Gley-Pseudogley aus Schluff über Sand  (3-7 dm);halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">oL+oU</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">rS</a>";>3m oder frei;<=10cm;<=25cm;1,10093149
732;004042;M1;SuSU5;Summter Sand-Graugley;g.rGG: s;Vergleyter Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;<=25cm;4,93166783
734;004042;NK2;WhSU4;Wildenhainer Sand-Graugley;GG-rGG: s;Gley-Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;<=25cm;0,46268813
423;003035;M2;SuSU6;Summter Sand-Graugley;rGG: s;Reliktgley aus Sand;halb- und vollhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">35,36</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei;<=10cm;<=25cm;9,39477584
426;003035;M2;NeS;Nedlitzer Sand-Braunerde;BB: s;Braunerde aus Sand;anhydromorphe Feinbodenform;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">5,6,7</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">almfS</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">mfS</a>";>3m oder frei; ; ;21,83810002
748;004042;NZ2;HbS4;Hobrechtsfelder Rieselschubsand;-;-;-; ; ; ; ; ; ;57,89472898
760;004043;OK3;SM.M3;Sand-Gleymoor, mäßig nährstoffhaltig;HN: Hn/s;Niedermoor aus Niedermoortorf über Sand (3-7 dm);organischer Standort;"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_NGS.html"" target=""NGS"">22</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">H</a>";"<a href=""https://fbinter.stadt-berlin.de/fb_daten/beschreibung/datenformatbeschreibung/Standortbodenform_KOER.html"" target=""KOER"">S+stbS</a>";>3m oder frei;40...80cm; ;1,23659081
